S1,"S1 - other","S1 - time",S2,"S2 - other","S2 - time",E1_1,"E1_1 - other","E1_1 - time",E2,"E2 - other","E2 - time",E3,"E3 - other","E3 - time",E4,"E4 - other","E4 - time",E5,"E5 - other","E5 - time",A1,"A1 - other","A1 - time",A2,"A2 - other","A2 - time",A4,"A4 - other","A4 - time",A5,"A5 - other","A5 - time",A6,"A6 - other","A6 - time",A6_1,"A6_1 - other","A6_1 - time",A7,"A7 - other","A7 - time",A8,"A8 - other","A8 - time",A9,"A9 - other","A9 - time",A10,"A10 - other","A10 - time",A10_1,"A10_1 - other","A10_1 - time",S5,"S5 - other","S5 - time",S6,"S6 - other","S6 - time",S7,"S7 - other","S7 - time",S3,"S3 - other","S3 - time",S3_1,"S3_1 - other","S3_1 - time",C1,"C1 - other","C1 - time",C2,"C2 - other","C2 - time",C3,"C3 - other","C3 - time",C4,"C4 - other","C4 - time",C5,"C5 - other","C5 - time",C6,"C6 - other","C6 - time"
"""1""",,16,"""2""",,21,"[""6"",""7"",""8""]",,34,"{""6"":""1"",""7"":""1"",""8"":""3""}",,21,,,,,,,,,,"{""49"":""1""}",,39,,,,"[""39"",""41"",""43""]",,36,"{""39"":[""4""],""41"":[""7""],""43"":[""4""]}",,26,"[""99""]",,23,,,,,,,"[""7"",""5"",""2"",""1"",""3""]",,20,"[""1""]",,9,"{""2"":[""84""],""9"":[""84""],""6"":[""85""],""8"":[""84""],""1"":[""89""],""4"":[""84""],""7"":[""85""],""5"":[""85""],""3"":[""84""]}",,87,"{""18"":[""85""],""17"":[""85""],""14"":[""85""],""13"":[""85""],""12"":[""85""],""16"":[""90""],""11"":[""86""],""15"":[""84""],""10"":[""85""]}",,59,"""3""",,21,"""1""",,5,"""1""",,6,"""1""",,12,,,,"""1989""",,5,"""2""",,4,"""98""",,12,"""4""",,9,"""5""",,22,"[""11"",""19"",""23""]",,36
"""1""",,6,"""5""",,6,"[""4"",""8"",""9"",""10""]",,27,"{""4"":""4"",""8"":""2"",""9"":""5"",""10"":""5""}",,24,,,,,,,,,,"{""44"":""1"",""43"":""1"",""41"":""1"",""45"":""1"",""46"":""1"",""47"":""1""}",,25,"{""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""},""43"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""},""41"":{""LastName"":""Дуров"",""Company"":""ВКонтакте""},""45"":{""LastName"":""Балмер"",""Company"":""Microsoft""},""46"":{""LastName"":""Касперский"",""Company"":""Kaspersky Lab""},""47"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""}}",,75,"[""39"",""41"",""43"",""47"",""44"",""45"",""46""]",,22,"{""39"":[""4""],""41"":[""4"",""7"",""8""],""45"":[""8""],""43"":[""4"",""8""],""46"":[""5"",""6"",""7""],""47"":[""4"",""8""],""44"":[""1"",""4"",""7"",""8""]}",,29,"[""8"",""6"",""10"",""3"",""7"",""12"",""2"",""1"",""9"",""4""]",,15,"{""8"":[""8""],""6"":[""8""],""12"":[""8""],""10"":[""8""],""2"":[""8""],""1"":[""8""],""3"":[""8""],""9"":[""8""],""7"":[""8""],""4"":[""8""]}",,48,,,,"[""6"",""10"",""3"",""4""]",,17,"[""10"",""2"",""1""]",,15,"{""2"":[""84"",""85"",""86""],""1"":[""89"",""85""],""5"":[""89"",""84""],""4"":[""89"",""84"",""85"",""86""],""3"":[""84"",""85""],""9"":[""90""],""7"":[""89"",""85"",""86""],""8"":[""89"",""84"",""85"",""86""],""6"":[""84"",""85"",""86""]}",,85,"{""15"":[""84"",""85"",""86""],""10"":[""84""],""16"":[""84"",""85"",""86""],""18"":[""90""],""17"":[""84"",""85"",""86""],""13"":[""85"",""86""],""12"":[""85"",""86""],""11"":[""89"",""84"",""85"",""86""],""14"":[""89"",""83"",""84"",""85"",""87"",""86""]}",,62,"""4""",,8,"""2""",,4,,,,"""2""",,7,,,,"""1988""",,4,"""1""",,3,"""12""",,4,"""4""",,6,"""5""",,18,"[""3"",""11"",""16""]",,25
"""3""",,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""1""",,31,"""12""",,7,"[""4"",""7"",""8"",""9""]",,23,"{""4"":""2"",""7"":""2"",""8"":""2"",""9"":""4""}",,22,,,,,,,,,,"{""39"":""1"",""41"":""1"",""44"":""1"",""46"":""1"",""45"":""1""}",,24,"{""39"":{""LastName"":""Волож"",""Company"":""Yandex""},""41"":{""LastName"":""Дуров"",""Company"":""vk.com""},""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""},""46"":{""LastName"":""Касперский"",""Company"":""Kaspersky""},""45"":{""LastName"":""Баллмер"",""Company"":""Microsoft""}}",,51,"[""41"",""45""]",,32,"{""41"":[""4""],""45"":[""4"",""8""]}",,16,"[""8"",""6"",""1"",""4""]",,35,"{""8"":[""4"",""8""],""6"":[""4"",""8""],""1"":[""7""],""4"":[""7""]}",,27,,,,"[""6""]",,22,"[""8"",""2"",""9"",""1""]",,16,"{""3"":[""85""],""1"":[""84"",""85""],""2"":[""89"",""84"",""85"",""86""],""9"":[""90""],""8"":[""84"",""85"",""86""],""7"":[""84"",""85"",""86""],""4"":[""89"",""84"",""85"",""86""],""5"":[""83"",""84"",""85""],""6"":[""85""]}",,95,"{""14"":[""87"",""83"",""89"",""85"",""86""],""13"":[""85""],""18"":[""90""],""11"":[""89"",""84"",""85"",""86""],""15"":[""84"",""85""],""16"":[""90""],""12"":[""85""],""17"":[""89"",""85"",""86""],""10"":[""90""]}",,87,"""2""",,7,"""6""",,8,"""2""",,5,"""2""",,8,,,,"""1979""",,6,"""1""",,3,"""1""",,4,"""4""",,4,"""5""",,10,"[""3""]",,25
"""1""",,9,"""8""",,8,"[""4"",""7""]",,17,"{""4"":""5"",""7"":""4""}",,28,,,,,,,,,,"{""41"":""1"",""46"":""1"",""39"":""1"",""44"":""1""}",,28,"{""41"":{""LastName"":""Дуров"",""Company"":""ВКонтакте""},""46"":{""LastName"":""Касперский"",""Company"":""Касперский""},""39"":{""LastName"":""Волож"",""Company"":""Яндекс""},""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""}}",,38,"[""46"",""41"",""44""]",,19,"{""46"":[""4""],""41"":[""4"",""7""],""44"":[""4""]}",,21,"[""7"",""11"",""1"",""4""]",,17,"{""7"":[""4""],""11"":[""4""],""1"":[""4"",""7""],""4"":[""4"",""7""]}",,14,,,,"[""9"",""7"",""11"",""1"",""3"",""2"",""4""]",,22,"[""1"",""2""]",,13,"{""7"":[""84"",""89"",""85"",""86""],""9"":[""84"",""89""],""4"":[""84"",""89"",""85""],""8"":[""84"",""89"",""85""],""5"":[""84"",""89"",""85"",""86"",""83""],""2"":[""84"",""89"",""85"",""86"",""83""],""3"":[""84"",""89"",""85"",""86"",""83""],""1"":[""84"",""89"",""85"",""86"",""83""],""6"":[""84"",""89""]}",,99,"{""14"":[""84"",""89"",""85"",""86""],""16"":[""84"",""85"",""83""],""10"":[""84"",""85""],""11"":[""84"",""89"",""85"",""86"",""83""],""15"":[""84"",""89"",""85"",""86"",""83""],""13"":[""84"",""89"",""85""],""12"":[""84"",""89"",""85"",""86""],""17"":[""84"",""89"",""85"",""86""],""18"":[""84"",""89"",""85""]}",,79,"""3""",,7,"""2""",,5,"""2""",,8,"""6""",,14,,,,"""1976""",,6,"""1""",,4,"""2""",,4,"""4""",,3,"""5""",,18,"[""11"",""19"",""24""]",,22
"""2""",,13,"""10""",,16,"[""4"",""7""]",,58,"{""4"":""1"",""7"":""1""}",,17,,,,,,,,,,"{""44"":""1""}",,24,"{""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""}}",,25,"[""44""]",,16,"{""44"":[""4"",""6"",""7""]}",,14,"[""1"",""11"",""7"",""8""]",,56,"{""1"":[""4"",""7""],""11"":[""4"",""6""],""8"":[""4"",""7""],""7"":[""4"",""7""]}",,27,,,,"[""1"",""11"",""8""]",,16,"[""1""]",,8,"{""9"":[""84""],""6"":[""85""],""8"":[""90""],""2"":[""86"",""85""],""7"":[""86"",""85"",""84""],""3"":[""90""],""5"":[""85"",""84""],""1"":[""86"",""85"",""84""],""4"":[""86"",""85"",""84""]}",,66,"{""17"":[""85"",""84""],""16"":[""85"",""84""],""12"":[""85"",""84""],""15"":[""85"",""84""],""18"":[""86"",""85"",""84""],""11"":[""84""],""14"":[""86"",""85"",""84""],""10"":[""90""],""13"":[""85""]}",,67,"""2""",,12,"""4""",,6,"""3""",,6,,,,"""6""",,10,"""1695""",,8,"""2""",,4,"""47""",,10,"""4""",,6,"""4""",,12,"[""2"",""18"",""24""]",,32
"""1""",,9,"""3""",,9,"[""7"",""8"",""9"",""10"",""11""]",,21,"{""7"":""1"",""8"":""4"",""9"":""3"",""10"":""4"",""11"":""4""}",,29,,,,,,,,,,"{""41"":""1"",""45"":""1"",""44"":""1"",""43"":""1"",""47"":""1""}",,29,"{""41"":{""LastName"":""Дуров"",""Company"":""вконтакте""},""45"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""},""44"":{""LastName"":""Цукерберг"",""Company"":""facebook""},""43"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""},""47"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""}}",,39,"[""99""]",,23,,,,"[""99""]",,17,,,,,,,"[""2"",""3"",""6"",""1""]",,33,"[""2"",""1""]",,9,"{""5"":[""84"",""85""],""2"":[""84"",""85"",""83"",""86"",""89""],""4"":[""84"",""85"",""83"",""86"",""88"",""87"",""89""],""8"":[""85""],""9"":[""84"",""85"",""86""],""7"":[""84"",""85""],""3"":[""84"",""85"",""83"",""86"",""88"",""87"",""89""],""6"":[""84"",""85""],""1"":[""84"",""85"",""86"",""89""]}",,86,"{""11"":[""84"",""85"",""89""],""15"":[""84"",""85""],""14"":[""84"",""85"",""86"",""87"",""89""],""13"":[""84"",""85"",""89""],""18"":[""84"",""85"",""86"",""89""],""12"":[""84"",""85""],""10"":[""84"",""85""],""17"":[""84"",""85"",""89""],""16"":[""84"",""85"",""83""]}",,67,"""1""",,15,"""2""",,5,"""2""",,6,"""5""",,6,,,,"""1987""",,6,"""1""",,2,"""1""",,3,"""4""",,5,"""4""",,25,"[""2"",""11""]",,25
"""1""",,9,"""15""",,19,"[""4"",""5"",""6"",""7"",""8"",""11""]",,40,"{""4"":""5"",""5"":""4"",""6"":""2"",""7"":""1"",""8"":""2"",""11"":""3""}",,39,,,,,,,,,,"{""41"":""1"",""401"":""1"",""44"":""1""}",,44,"{""41"":{""LastName"":""дуров"",""Company"":""вк""},""401"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""},""44"":{""LastName"":""цукурберг"",""Company"":""фб""}}",,28,"[""41"",""401"",""48"",""402"",""44"",""46"",""43"",""39""]",,42,"{""41"":[""1"",""4"",""5"",""6"",""7"",""8""],""46"":[""6"",""7""],""43"":[""4"",""6"",""7""],""401"":[""4""],""48"":[""4""],""39"":[""4""],""402"":[""7""],""44"":[""4"",""5"",""6""]}",,69,"[""2"",""3"",""4"",""8"",""9"",""5"",""12"",""6"",""7"",""1"",""11""]",,19,"{""2"":[""1"",""4"",""5"",""6"",""7"",""8""],""5"":[""4""],""12"":[""4""],""3"":[""4"",""5"",""6"",""8""],""6"":[""4"",""5"",""6""],""4"":[""1"",""4"",""5"",""6"",""7"",""8""],""7"":[""1"",""4"",""5"",""6"",""7"",""8""],""8"":[""1"",""4"",""5"",""6"",""7"",""8""],""1"":[""1"",""4"",""5"",""6"",""7"",""8""],""9"":[""4"",""5"",""6"",""7"",""8""],""11"":[""6""]}",,71,,,,"[""2"",""3"",""7"",""1""]",,25,"[""8"",""9"",""1""]",,21,"{""1"":[""83"",""89"",""84"",""86"",""85""],""9"":[""84""],""7"":[""84"",""85""],""6"":[""84"",""85""],""5"":[""89"",""84""],""4"":[""84""],""8"":[""84""],""3"":[""84""],""2"":[""83"",""89"",""84"",""86"",""85""]}",,89,"{""11"":[""89"",""84""],""18"":[""84""],""10"":[""90""],""14"":[""89"",""84"",""86"",""85""],""16"":[""84"",""85""],""12"":[""84"",""85""],""15"":[""89"",""84"",""86"",""85""],""13"":[""89"",""84"",""86"",""85""],""17"":[""89"",""84"",""86"",""85""]}",,70,"""4""",,11,"""1""",,5,,,,"""2""",,12,,,,"""1981""",,13,"""1""",,3,"""2""",,3,"""4""",,5,"""5""",,20,"[""1"",""3"",""10""]",,48
"""2""",,16,"""8""",,6,"[""1"",""4"",""7"",""8"",""11""]",,28,"{""1"":""6"",""4"":""1"",""7"":""1"",""8"":""1"",""11"":""1""}",,37,,,,,,,,,,"{""41"":""1"",""39"":""1"",""44"":""1"",""46"":""1""}",,46,"{""41"":{""LastName"":""павлов"",""Company"":""вконтакте""},""39"":{""LastName"":""Волож"",""Company"":""Яндекс""},""44"":{""LastName"":""цекурбекер)"",""Company"":""файсбук""},""46"":{""LastName"":""Касперский"",""Company"":""ЛК""}}",,66,"[""44"",""45"",""39"",""43"",""46"",""41""]",,45,"{""39"":[""4"",""7"",""8""],""43"":[""4"",""7"",""8""],""44"":[""4"",""7"",""8""],""46"":[""4"",""7"",""8""],""41"":[""4"",""7"",""8""],""45"":[""4""]}",,52,"[""1"",""9"",""7"",""11"",""12"",""8"",""3"",""4"",""2""]",,23,"{""1"":[""4"",""7"",""8""],""8"":[""7"",""8""],""9"":[""4"",""7"",""8""],""3"":[""4"",""7"",""8""],""7"":[""4"",""7"",""8""],""4"":[""4"",""7"",""8""],""11"":[""4""],""2"":[""4""],""12"":[""4"",""7""]}",,47,,,,"[""1"",""8""]",,21,"[""1"",""8""]",,11,"{""3"":[""85"",""84""],""5"":[""86"",""84""],""1"":[""85"",""84""],""9"":[""84""],""6"":[""85"",""84""],""7"":[""85"",""84""],""2"":[""86"",""85"",""89"",""84""],""4"":[""84""],""8"":[""84""]}",,106,"{""12"":[""85"",""84""],""11"":[""84""],""15"":[""84""],""17"":[""84""],""10"":[""90""],""13"":[""85"",""84""],""18"":[""85"",""84""],""16"":[""85"",""84""],""14"":[""86"",""85"",""89"",""84"",""87""]}",,86,"""2""",,7,"""3""",,10,"""2""",,8,,,,"""4""",,19,"""1957""",,8,"""1""",,4,"""2""",,5,"""4""",,5,"""3""",,16,"[""2"",""11"",""26""]",,27
"""2""",,16,"""6""",,10,"[""1"",""4"",""7"",""8"",""12""]",блоги,50,"{""1"":""4"",""4"":""1"",""7"":""2"",""8"":""1"",""12"":""1""}",,32,,,,,,,,,,"{""44"":""1"",""46"":""1"",""45"":""1""}",,34,"{""44"":{""LastName"":""Цукенбург"",""Company"":""Фейсбук""},""46"":{""LastName"":""Касперский"",""Company"":""Лаборатория Касперского""},""45"":{""LastName"":""Балмер"",""Company"":""Microsoft""}}",,79,"[""43"",""46"",""44"",""45""]",,37,"{""46"":[""4"",""6"",""7"",""8"",""10""],""43"":[""4"",""8""],""44"":[""1"",""4"",""6"",""7"",""8"",""10""],""45"":[""4"",""7"",""8"",""10""]}",,50,"[""7"",""9"",""2"",""8"",""1""]",,18,"{""7"":[""1"",""4"",""6"",""7"",""8"",""10""],""9"":[""4"",""6"",""7"",""8"",""10""],""2"":[""4""],""8"":[""4"",""7"",""8"",""10""],""1"":[""1"",""4"",""6"",""7"",""8"",""10""]}",,67,,,,"[""7"",""9"",""3"",""6"",""8"",""4"",""1""]",,16,"[""7"",""9"",""3"",""6"",""1""]",,25,"{""5"":[""90""],""1"":[""84""],""3"":[""84"",""85"",""86""],""4"":[""90""],""8"":[""83"",""84"",""87"",""85"",""86"",""88"",""89""],""6"":[""85""],""9"":[""86""],""7"":[""84"",""85""],""2"":[""83"",""84"",""85"",""86""]}",,98,"{""12"":[""85"",""86""],""17"":[""85""],""18"":[""84"",""85"",""86""],""14"":[""85"",""86""],""13"":[""83"",""85"",""86""],""15"":[""84"",""85"",""86""],""16"":[""84"",""85"",""86""],""11"":[""87"",""88""],""10"":[""90""]}",,90,"""3""",,14,"""3""",,5,"""1""",,6,,,,"""98""","ГОСТИНИЧНОЕ ДЕЛО",31,"""1986""",,6,"""1""",,3,"""58""",,6,"""4""",,4,"""5""",,12,"[""13"",""14"",""17""]",,34
