S1,"S1 - other","S1 - time",S2,"S2 - other","S2 - time",E1_1,"E1_1 - other","E1_1 - time",E2,"E2 - other","E2 - time",E3,"E3 - other","E3 - time",E4,"E4 - other","E4 - time",E5,"E5 - other","E5 - time",A1,"A1 - other","A1 - time",A2,"A2 - other","A2 - time",A4,"A4 - other","A4 - time",A5,"A5 - other","A5 - time",A6,"A6 - other","A6 - time",A6_1,"A6_1 - other","A6_1 - time",A7,"A7 - other","A7 - time",A8,"A8 - other","A8 - time",A9,"A9 - other","A9 - time",A10,"A10 - other","A10 - time",A10_1,"A10_1 - other","A10_1 - time",S5,"S5 - other","S5 - time",S6,"S6 - other","S6 - time",S7,"S7 - other","S7 - time",S3,"S3 - other","S3 - time",S3_1,"S3_1 - other","S3_1 - time",C1,"C1 - other","C1 - time",C2,"C2 - other","C2 - time",C3,"C3 - other","C3 - time",C4,"C4 - other","C4 - time",C5,"C5 - other","C5 - time",C6,"C6 - other","C6 - time"
"""1""",,10,"""9""",,4,"[""4"",""7"",""8"",""12""]",форумы,48,"{""4"":""3"",""7"":""6"",""8"":""2"",""12"":""2""}",,22,,,,,,,,,,"{""401"":""1"",""47"":""1"",""45"":""1"",""43"":""1"",""44"":""1"",""39"":""1"",""46"":""1""}",,251,"{""401"":{""LastNameEmpty"":""1"",""Company"":""Mail.ru""},""47"":{""LastNameEmpty"":""1"",""Company"":""Parallels""},""45"":{""LastName"":""Балмер"",""Company"":""Microsoft""},""43"":{""LastName"":""Пейдж"",""Company"":""Google""},""44"":{""LastName"":""Цукенберг"",""Company"":""Facebook""},""39"":{""LastNameEmpty"":""1"",""Company"":""Яндекс""},""46"":{""LastName"":""Касперский"",""Company"":""Kaspersky""}}",,193,"[""46"",""44"",""45"",""39"",""43""]",,45,"{""39"":[""8""],""46"":[""6"",""8""],""43"":[""8""],""44"":[""8""],""45"":[""8""]}",,36,"[""10"",""1"",""8"",""12""]",,22,"{""10"":[""8"",""10""],""8"":[""4"",""6"",""8""],""12"":[""8"",""10""],""1"":[""8""]}",,22,,,,"[""10"",""6"",""1"",""12"",""9""]",,27,"[""1"",""2"",""12""]",,22,"{""8"":[""84"",""86"",""87"",""85""],""2"":[""84"",""86"",""89"",""85""],""7"":[""84"",""85""],""5"":[""84"",""86"",""85""],""9"":[""84""],""6"":[""86"",""85""],""4"":[""90""],""3"":[""90""],""1"":[""84"",""85""]}",,76,"{""15"":[""84"",""86"",""87"",""85""],""11"":[""84"",""86"",""85""],""12"":[""84"",""86"",""85""],""18"":[""90""],""13"":[""84"",""83"",""86"",""89"",""87"",""85""],""17"":[""84"",""86"",""89"",""85""],""16"":[""84"",""86"",""87"",""85""],""10"":[""90""],""14"":[""85""]}",,74,"""3""",,7,"""3""",,4,"""2""",,4,"""2""",,8,,,,"""1981""",,5,"""2""",,3,"""12""",,9,"""4""",,5,"""4""",,11,"[""1"",""3"",""14""]",,31
"""1""",,13,"""8""",,4,"[""4"",""7"",""8"",""11""]",,11,"{""4"":""3"",""7"":""1"",""8"":""3"",""11"":""3""}",,12,,,,,,,,,,"{""46"":""1"",""41"":""1"",""44"":""1"",""45"":""1""}",,22,"{""46"":{""LastName"":""Касперский"",""Company"":""Лаборатория Касперского""},""41"":{""LastName"":""Дуров"",""Company"":""Вконтакте""},""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""},""45"":{""LastName"":""Балмер"",""Company"":""екс. Microsoft""}}",,57,"[""44"",""46"",""41"",""45""]",,14,"{""44"":[""4"",""7"",""8""],""45"":[""4"",""7"",""8""],""46"":[""4"",""8""],""41"":[""4"",""8""]}",,16,"[""4"",""1"",""8"",""2"",""6"",""7"",""9""]",,13,"{""4"":[""4"",""7"",""8""],""1"":[""4""],""6"":[""4""],""7"":[""4"",""7"",""8""],""8"":[""4""],""9"":[""4"",""7""],""2"":[""4""]}",,20,,,,"[""1"",""10"",""8"",""3"",""7""]",,12,"[""98""]","не хожу на мероприятия",42,"{""7"":[""85"",""84"",""86""],""3"":[""90""],""1"":[""85"",""84"",""86"",""89""],""6"":[""85"",""84"",""86""],""5"":[""84"",""86""],""2"":[""85"",""84"",""86"",""89""],""9"":[""84"",""86""],""4"":[""90""],""8"":[""85"",""84""]}",,49,"{""15"":[""84""],""11"":[""85"",""84"",""86""],""10"":[""84""],""12"":[""85"",""84"",""86""],""14"":[""85"",""84"",""86"",""89""],""13"":[""85"",""84"",""86"",""89""],""18"":[""84"",""86"",""89""],""17"":[""85"",""84"",""86"",""89""],""16"":[""84"",""86""]}",,48,"""1""",,114,"""2""",,4,"""4""",,4,"""1""",,5,,,,"""1981""",,4,"""1""",,4,"""1""",,2,"""4""",,4,"""5""",,6,"[""5"",""6"",""16""]",,53
"""1""",,13,"""8""",,4,"[""4"",""7"",""8"",""11""]",,11,"{""4"":""3"",""7"":""1"",""8"":""3"",""11"":""3""}",,12,,,,,,,,,,"{""46"":""1"",""41"":""1"",""44"":""1"",""45"":""1""}",,22,"{""46"":{""LastName"":""Касперский"",""Company"":""Лаборатория Касперского""},""41"":{""LastName"":""Дуров"",""Company"":""Вконтакте""},""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""},""45"":{""LastName"":""Балмер"",""Company"":""екс. Microsoft""}}",,57,"[""44"",""46"",""41"",""45""]",,14,"{""44"":[""4"",""7"",""8""],""45"":[""4"",""7"",""8""],""46"":[""4"",""8""],""41"":[""4"",""8""]}",,16,"[""4"",""1"",""8"",""2"",""6"",""7"",""9""]",,13,"{""4"":[""4"",""7"",""8""],""1"":[""4""],""6"":[""4""],""7"":[""4"",""7"",""8""],""8"":[""4""],""9"":[""4"",""7""],""2"":[""4""]}",,20,,,,"[""1"",""10"",""8"",""3"",""7""]",,12,"[""98""]","не хожу на мероприятия",42,"{""7"":[""85"",""84"",""86""],""3"":[""90""],""1"":[""85"",""84"",""86"",""89""],""6"":[""85"",""84"",""86""],""5"":[""84"",""86""],""2"":[""85"",""84"",""86"",""89""],""9"":[""84"",""86""],""4"":[""90""],""8"":[""85"",""84""]}",,49,"{""15"":[""84""],""11"":[""85"",""84"",""86""],""10"":[""84""],""12"":[""85"",""84"",""86""],""14"":[""85"",""84"",""86"",""89""],""13"":[""85"",""84"",""86"",""89""],""18"":[""84"",""86"",""89""],""17"":[""85"",""84"",""86"",""89""],""16"":[""84"",""86""]}",,48,"""1""",,114,"""2""",,4,"""4""",,4,"""1""",,5,,,,"""1981""",,4,"""1""",,4,"""1""",,2,"""4""",,4,"""5""",,6,"[""5"",""6"",""16""]",,53
"""1""",,18,"""4""",,8,"[""4"",""12""]",forum.searchengines.ru,64,"{""4"":""4"",""12"":""2""}",,22,,,,,,,,,,"{""49"":""1""}",,20,,,,"[""99""]",,20,,,,"[""11"",""8"",""1""]",,21,"{""8"":[""10""],""1"":[""10""],""11"":[""4""]}",,99,,,,"[""1""]",,19,"[""2"",""3"",""1""]",,17,"{""7"":[""90""],""2"":[""90""],""1"":[""90""],""5"":[""90""],""3"":[""90""],""4"":[""90""],""9"":[""90""],""6"":[""90""],""8"":[""90""]}",,48,"{""15"":[""90""],""18"":[""90""],""14"":[""90""],""16"":[""90""],""10"":[""90""],""11"":[""90""],""17"":[""90""],""12"":[""90""],""13"":[""90""]}",,22,"""4""",,18,"""1""",,6,,,,"""2""",,13,,,,"""1963""",,11,"""1""",,3,"""32""",,10,"""4""",,21,"""5""",,25,"[""3"",""20"",""23""]",,31
"""2""",,11,"""2""",,9,"[""4"",""7"",""11""]",,26,"{""4"":""2"",""7"":""2"",""11"":""4""}",,20,,,,,,,,,,"{""41"":""1"",""44"":""1"",""43"":""1"",""46"":""1"",""402"":""1"",""42"":""1""}",,29,"{""41"":{""LastName"":""Дуров"",""Company"":""Вконтакте""},""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""},""43"":{""LastName"":""Пейдж"",""Company"":""Google""},""46"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""},""402"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""},""42"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""}}",,199,"[""41"",""46"",""45"",""43""]",,31,"{""41"":[""7""],""46"":[""4""],""45"":[""4"",""6""],""43"":[""4"",""7""]}",,37,"[""7"",""3"",""9"",""2"",""4"",""6""]",,30,"{""7"":[""7""],""6"":[""4""],""3"":[""4""],""9"":[""4""],""2"":[""7""],""4"":[""7""]}",,265,,,,"[""3"",""1""]",,13,"[""2"",""4"",""6"",""1""]",,13,"{""2"":[""84"",""85"",""89"",""86""],""4"":[""84"",""85"",""89"",""86""],""3"":[""84"",""89""],""5"":[""84"",""89"",""86""],""1"":[""84"",""85"",""89""],""9"":[""84"",""85"",""89"",""86""],""8"":[""84"",""85"",""89""],""7"":[""84"",""85"",""89"",""86"",""83""],""6"":[""84"",""85"",""89"",""86""]}",,143,"{""10"":[""90""],""18"":[""84"",""85"",""89""],""13"":[""84"",""85"",""89"",""86""],""17"":[""84"",""85"",""89"",""86""],""11"":[""84"",""85"",""89"",""86""],""14"":[""84"",""85"",""89"",""86""],""16"":[""84"",""85"",""89"",""86"",""83""],""15"":[""84"",""85"",""89"",""86""],""12"":[""84"",""85"",""89"",""86""]}",,107,"""3""",,8,"""6""",,7,"""1""",,5,,,,"""4""",,9,"""1988""",,5,"""2""",,2,"""62""",,7,"""4""",,11,"""5""",,8,"[""2"",""11"",""19""]",,21
"""2""",,10,"""3""",,5,"[""2"",""4"",""7"",""9"",""10""]",,19,"{""2"":""6"",""4"":""2"",""7"":""1"",""9"":""4"",""10"":""3""}",,20,,,,,,,,,,"{""47"":""1"",""39"":""1"",""44"":""1"",""42"":""1"",""43"":""1"",""40"":""1"",""41"":""1"",""48"":""1"",""45"":""1"",""401"":""1"",""46"":""1""}",,13,"{""47"":{""LastName"":""Белоусов"",""Company"":""Parallels\/Acronis""},""39"":{""LastName"":""Волож"",""Company"":""Яндекс""},""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""},""42"":{""LastName"":""Молибог"",""Company"":""ex-Rambler""},""43"":{""LastName"":""Пейдж"",""Company"":""Google""},""40"":{""LastName"":""Гришин"",""Company"":""Mail.ru""},""41"":{""LastName"":""Дуров"",""Company"":""Вконтакте""},""48"":{""LastName"":""Долгов"",""Company"":""ebay""},""45"":{""LastName"":""Балмер"",""Company"":""Microsoft""},""401"":{""LastName"":""Артоманова"",""Company"":""Mail.ru""},""46"":{""LastName"":""Касперский"",""Company"":""Лаборатория Касперского""}}",,113,"[""44"",""42"",""400"",""45"",""39"",""40"",""41"",""401""]",,28,"{""44"":[""4"",""7""],""42"":[""4""],""40"":[""4"",""7"",""8""],""400"":[""4""],""41"":[""4"",""7"",""8""],""45"":[""4""],""39"":[""4""],""401"":[""4"",""7""]}",,33,"[""7"",""11"",""5"",""2"",""4"",""6"",""10"",""1""]",,21,"{""7"":[""4"",""7""],""2"":[""4"",""7"",""8""],""4"":[""4""],""6"":[""4""],""11"":[""4"",""7"",""8""],""10"":[""7""],""5"":[""4"",""7"",""8""],""1"":[""4"",""7"",""8""]}",,26,,,,"[""7"",""3"",""5"",""4"",""6""]",,16,"[""8"",""2"",""10"",""1""]",,17,"{""9"":[""86"",""84"",""85""],""6"":[""86"",""84"",""85""],""3"":[""90""],""8"":[""86"",""85""],""2"":[""89"",""86"",""83"",""84"",""85""],""4"":[""90""],""7"":[""86"",""84"",""85""],""1"":[""86"",""85""],""5"":[""89"",""86"",""84"",""85""]}",,217,"{""18"":[""86"",""84""],""11"":[""89"",""86"",""83"",""84"",""85""],""12"":[""86"",""85""],""16"":[""83"",""84""],""17"":[""89"",""86"",""84"",""85""],""15"":[""86"",""85""],""14"":[""89"",""86"",""83"",""84"",""88"",""87"",""85""],""10"":[""90""],""13"":[""89"",""86"",""83"",""84"",""85""]}",,95,"""2""",,19,"""2""",,4,"""2""",,30,,,,"""6""",,7,"""1988""",,6,"""2""",,3,"""1""",,5,"""4""",,6,"""5""",,13,"[""10"",""18"",""24""]",,12
"""2""",,7,"""2""",,18,"[""4"",""7"",""8"",""9"",""10""]",,20,"{""4"":""2"",""7"":""1"",""8"":""2"",""9"":""2"",""10"":""2""}",,20,,,,,,,,,,"{""41"":""1"",""401"":""1"",""48"":""1"",""44"":""1"",""39"":""1"",""45"":""1"",""400"":""1"",""43"":""1"",""40"":""1""}",,29,"{""41"":{""LastName"":""Дуров"",""Company"":""ВКонтакте""},""401"":{""LastName"":""Артамонова"",""Company"":""Mail.ru""},""48"":{""LastName"":""Долгов"",""Company"":""Google Россия""},""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""},""39"":{""LastName"":""Волож"",""Company"":""Яндекс""},""45"":{""LastName"":""Балмер"",""Company"":""Microsoft""},""400"":{""LastName"":""Широков"",""Company"":""Mail.ru""},""43"":{""LastName"":""Сегалович"",""Company"":""Яндекс""},""40"":{""LastName"":""Гришин"",""Company"":""Mail.ru""}}",,388,"[""40"",""41"",""42"",""402"",""39"",""44"",""401""]",,30,"{""40"":[""7"",""8""],""39"":[""4"",""7"",""8""],""41"":[""7"",""8""],""44"":[""7"",""8""],""42"":[""7""],""401"":[""7""],""402"":[""4"",""7"",""8""]}",,36,"[""2"",""11"",""1""]",,17,"{""2"":[""4""],""1"":[""4"",""7"",""8""],""11"":[""7""]}",,12,,,,"[""10"",""11"",""3"",""6"",""8"",""1"",""5"",""7"",""4""]",,21,"[""10"",""3"",""1"",""7"",""4""]",,14,"{""9"":[""85""],""8"":[""85"",""86""],""6"":[""85"",""86"",""84""],""1"":[""85"",""86""],""7"":[""85"",""86""],""2"":[""85"",""83"",""89"",""86"",""84""],""5"":[""85"",""86"",""84""],""3"":[""85"",""83"",""89"",""86"",""84""],""4"":[""90""]}",,91,"{""17"":[""85"",""86""],""11"":[""85"",""86""],""13"":[""85"",""83"",""89"",""86"",""84""],""18"":[""85"",""88"",""89"",""86"",""84""],""10"":[""85"",""86"",""84""],""12"":[""85""],""14"":[""85"",""89"",""86""],""15"":[""85"",""89"",""86"",""84""],""16"":[""85"",""89"",""86"",""84""]}",,103,"""2""",,9,"""2""",,8,"""2""",,4,,,,"""7""",,7,"""1988""",,7,"""2""",,3,"""1""",,5,"""4""",,5,"""4""",,13,"[""3"",""9"",""15""]",,36
"""1""",,17,"""4""",,10,"[""4"",""7"",""8"",""9"",""10""]",,40,"{""4"":""6"",""7"":""3"",""8"":""5"",""9"":""6"",""10"":""5""}",,32,,,,,,,,,,"{""41"":""1"",""46"":""1"",""39"":""1"",""44"":""1"",""48"":""1""}",,40,"{""41"":{""LastName"":""Павел Дуров"",""Company"":""ВКонтакте""},""46"":{""LastName"":""Касперский"",""Company"":""Kaspersy lab""},""39"":{""LastName"":""Аркадий Волж"",""Company"":""Яндекс""},""44"":{""LastName"":""Цукенберг"",""Company"":""Facebook""},""48"":{""LastNameEmpty"":""1"",""Company"":""exGoogle Россия""}}",,95,"[""39"",""41""]",,69,"{""39"":[""4"",""7""],""41"":[""4"",""7"",""8""]}",,22,"[""4"",""8"",""7"",""3"",""1""]",,27,"{""7"":[""6"",""7""],""4"":[""7"",""8""],""3"":[""4"",""6"",""7""],""8"":[""4"",""6""],""1"":[""4"",""7"",""8""]}",,52,,,,"[""4"",""3"",""1""]",,55,"[""99""]",,26,"{""9"":[""90""],""1"":[""89"",""84""],""3"":[""89"",""84""],""5"":[""89"",""84""],""2"":[""89"",""84""],""4"":[""89"",""84""],""8"":[""85"",""84""],""6"":[""85"",""89"",""84""],""7"":[""85"",""89"",""84""]}",,103,"{""12"":[""89"",""84""],""14"":[""89"",""84""],""10"":[""89"",""84""],""16"":[""85"",""89"",""84""],""17"":[""89"",""84""],""18"":[""84""],""13"":[""89"",""84""],""15"":[""85"",""89"",""84""],""11"":[""89"",""84""]}",,69,"""2""",,21,"""1""",,5,"""2""",,5,"""1""",,12,,,,"""1985""",,6,"""1""",,3,"""73""",,7,"""4""",,9,"""4""",,32,"[""2"",""11"",""19""]",,46
"""2""",,105,"""3""",,20,"[""4"",""7""]",,38,"{""4"":""4"",""7"":""2""}",,26,,,,,,,,,,"{""44"":""1""}",,34,"{""44"":{""LastName"":""Цукерберг"",""Company"":""facebook""}}",,24,"[""44"",""46"",""45""]",,32,"{""44"":[""4"",""7""],""46"":[""4""],""45"":[""4""]}",,24,"[""8"",""3"",""7"",""1"",""9""]",,24,"{""8"":[""4""],""3"":[""4""],""7"":[""4"",""7""],""1"":[""4""],""9"":[""4""]}",,24,,,,"[""8"",""3"",""1""]",,21,"[""3"",""1""]",,14,"{""8"":[""90""],""2"":[""84"",""85"",""86""],""5"":[""85""],""6"":[""85""],""9"":[""84"",""85""],""7"":[""84"",""85""],""3"":[""85""],""4"":[""85""],""1"":[""84"",""85""]}",,197,"{""12"":[""84"",""85""],""14"":[""84"",""85""],""13"":[""84"",""85""],""11"":[""84"",""85""],""10"":[""90""],""18"":[""84"",""85""],""17"":[""85""],""16"":[""85""],""15"":[""84"",""85""]}",,64,"""2""",,16,"""2""",,9,"""2""",,6,,,,"""7""",,12,"""1959""",,9,"""2""",,4,"""1""",,8,"""4""",,6,"""4""",,26,"[""11"",""22""]",,38
"""1""",,14,"""5""",,18,"[""4"",""6"",""8"",""11""]",,69,"{""4"":""2"",""6"":""3"",""8"":""3"",""11"":""2""}",,41,,,,,,,,,,"{""41"":""1""}",,61,"{""41"":{""LastName"":""Дуров"",""Company"":""Вконтакте""}}",,63,"[""41""]",,86,"{""41"":[""4"",""6""]}",,20,"[""3"",""1"",""4"",""8""]",,46,"{""3"":[""6""],""1"":[""6"",""8""],""4"":[""4"",""6"",""8""],""8"":[""4"",""6"",""8""]}",,69,,,,"[""1"",""2""]",,62,"[""3"",""6"",""1"",""2"",""4""]",,20,"{""4"":[""87"",""83"",""89"",""84"",""85"",""86""],""7"":[""89"",""84"",""85"",""86""],""8"":[""84""],""9"":[""84""],""6"":[""89"",""84"",""85"",""86""],""3"":[""84""],""5"":[""84"",""85""],""1"":[""84"",""85""],""2"":[""89"",""84"",""85"",""86""]}",,160,"{""18"":[""84""],""13"":[""87"",""83"",""89"",""84"",""85"",""86""],""11"":[""87"",""83"",""89"",""84"",""85"",""86""],""17"":[""84"",""85""],""12"":[""84"",""85""],""10"":[""90""],""14"":[""87"",""83"",""89"",""84"",""85"",""86""],""16"":[""87"",""83"",""89"",""84"",""88"",""85""],""15"":[""84"",""85"",""86""]}",,158,"""2""",,24,"""2""",,18,"""2""",,5,"""5""",,13,,,,"""1986""",,7,"""1""",,3,"""9""",,11,"""4""",,12,"""5""",,29,"[""3"",""11"",""19""]",,78
"""1""",,15,"""10""",,8,"[""4"",""8"",""9"",""11""]",,19,"{""4"":""1"",""8"":""3"",""9"":""4"",""11"":""2""}",,17,,,,,,,,,,"{""44"":""1"",""43"":""1"",""46"":""1"",""39"":""1"",""41"":""1""}",,25,"{""44"":{""LastName"":""Цукенберг"",""Company"":""Facebook""},""43"":{""LastName"":""Larry Page"",""Company"":""Google""},""46"":{""LastName"":""Касперский"",""Company"":""Касперский""},""39"":{""LastName"":""Аркадий волож"",""Company"":""Яндекс""},""41"":{""LastName"":""Дуров"",""Company"":""Вконтакте""}}",,113,"[""99""]",,24,,,,"[""3"",""4"",""2"",""7"",""8"",""1"",""6""]",,15,"{""3"":[""4"",""5"",""7"",""8""],""7"":[""4"",""5"",""6"",""7"",""8""],""8"":[""1"",""4"",""5"",""6"",""7"",""8""],""4"":[""4"",""5"",""7"",""8""],""1"":[""1"",""4"",""5"",""6"",""7"",""8""],""2"":[""4"",""7"",""8""],""6"":[""1"",""4"",""5"",""6"",""7"",""8""]}",,47,,,,"[""3"",""1""]",,19,"[""3"",""11"",""2"",""8"",""1""]",,19,"{""9"":[""84""],""3"":[""84""],""6"":[""85""],""7"":[""85""],""1"":[""85""],""4"":[""85""],""5"":[""84""],""8"":[""84""],""2"":[""84""]}",,53,"{""11"":[""84""],""16"":[""84""],""14"":[""84""],""10"":[""84""],""15"":[""84""],""17"":[""84""],""12"":[""84""],""18"":[""84""],""13"":[""84""]}",,26,"""2""",,5,"""1""",,6,"""2""",,5,"""1""",,6,,,,"""1984""",,6,"""1""",,2,"""2""",,3,"""4""",,5,"""5""",,10,"[""2"",""3"",""11""]",,15
"""3""",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""1""",,16,"""7""",,8,"[""7"",""8""]",,30,"{""7"":""2"",""8"":""3""}",,14,,,,,,,,,,"{""41"":""1"",""43"":""1""}",,39,"{""41"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""},""43"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""}}",,23,"[""46"",""41""]",,18,"{""46"":[""6""],""41"":[""4"",""7""]}",,12,"[""12"",""9"",""11"",""4"",""1"",""7""]",,21,"{""9"":[""7""],""11"":[""4""],""4"":[""7""],""12"":[""7""],""1"":[""4"",""7""],""7"":[""7""]}",,28,,,,"[""1""]",,13,"[""3"",""4"",""1""]",,14,"{""9"":[""89""],""8"":[""89"",""84""],""3"":[""84""],""6"":[""85""],""1"":[""85"",""89"",""84""],""4"":[""89""],""2"":[""85"",""89"",""84""],""7"":[""85"",""84""],""5"":[""85"",""89"",""84""]}",,55,"{""18"":[""90""],""11"":[""89"",""84""],""16"":[""84""],""14"":[""85"",""89"",""87""],""17"":[""85"",""84"",""86""],""15"":[""85"",""89""],""12"":[""85"",""84""],""13"":[""85"",""84""],""10"":[""89""]}",,62,"""3""",,13,"""2""",,6,"""1""",,6,"""3""",,8,,,,"""1983""",,5,"""2""",,3,"""72""",,11,"""4""",,4,"""3""",,43,"[""19"",""20""]",,22
"""3""",,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""3""",,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""1""",,4,"""4""",,7,"[""2"",""4"",""7"",""8""]",,30,"{""2"":""4"",""4"":""1"",""7"":""1"",""8"":""4""}",,27,,,,,,,,,,"{""44"":""1"",""41"":""1""}",,23,"{""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""},""41"":{""LastName"":""Дуров"",""Company"":""ВКонтакте""}}",,58,"[""44"",""39"",""41"",""45"",""43""]",,23,"{""44"":[""4""],""41"":[""1"",""4"",""7""],""39"":[""4"",""7""],""45"":[""4""],""43"":[""4""]}",,214,"[""4"",""8"",""7"",""1"",""2""]",,22,"{""4"":[""4"",""7""],""8"":[""4""],""7"":[""4"",""7""],""1"":[""4""],""2"":[""4""]}",,64,,,,"[""4"",""6"",""1""]",,19,"[""99""]",,38,"{""3"":[""86"",""89"",""84"",""85""],""6"":[""86"",""89"",""84""],""5"":[""86"",""85""],""7"":[""84"",""85""],""9"":[""89"",""84"",""85""],""4"":[""89"",""84""],""1"":[""86"",""89"",""84"",""85""],""2"":[""86"",""84"",""85""],""8"":[""84"",""85""]}",,473,"{""18"":[""86"",""89"",""84"",""85""],""10"":[""84"",""85""],""16"":[""86"",""83"",""88"",""84"",""85""],""17"":[""86"",""89"",""84"",""85""],""13"":[""86"",""89"",""84"",""85""],""11"":[""86"",""89"",""84"",""85""],""12"":[""84"",""85""],""14"":[""87"",""86"",""83"",""89"",""84"",""85""],""15"":[""86"",""89"",""84"",""85""]}",,90,"""3""",,7,"""2""",,4,"""1""",,5,"""1""",,6,,,,"""1979""",,5,"""1""",,5,"""61""",,6,"""4""",,3,"""4""",,75,"[""3"",""19"",""23""]",,38
"""1""",,14,"""10""",,6,"[""7"",""8"",""11""]",,35,"{""7"":""3"",""8"":""5"",""11"":""3""}",,21,,,,,,,,,,"{""43"":""1"",""45"":""1"",""44"":""1""}",,24,"{""43"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""},""45"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""},""44"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""}}",,19,"[""44""]",,23,"{""44"":[""4"",""7""]}",,10,"[""7"",""6"",""8""]",,18,"{""7"":[""4"",""7"",""8""],""6"":[""4"",""7"",""8""],""8"":[""4"",""7"",""8""]}",,22,,,,"[""6""]",,13,"[""99""]",,8,"{""2"":[""85""],""1"":[""85"",""86""],""9"":[""85"",""86""],""6"":[""85""],""3"":[""85""],""7"":[""85""],""8"":[""85"",""86""],""5"":[""85""],""4"":[""85"",""86""]}",,79,"{""17"":[""85""],""13"":[""85""],""12"":[""85""],""18"":[""85""],""11"":[""85""],""16"":[""85""],""15"":[""85""],""14"":[""85"",""86""],""10"":[""85""]}",,47,"""4""",,13,"""3""",,5,,,,"""2""",,11,,,,"""1982""",,5,"""1""",,3,"""2""",,3,"""5""",,5,"""6""",,24,"[""3"",""9"",""23""]",,74
"""1""",,9,"""10""",,4,"[""7"",""8"",""10""]",,27,"{""7"":""1"",""8"":""2"",""10"":""3""}",,11,,,,,,,,,,"{""44"":""1""}",,15,"{""44"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""}}",,5,"[""99""]",,11,,,,"[""1"",""8"",""9""]",,11,"{""1"":[""7"",""8""],""8"":[""7"",""8""],""9"":[""4"",""7"",""8""]}",,38,,,,"[""99""]",,5,"[""99""]",,3,"{""9"":[""90""],""7"":[""85"",""83""],""8"":[""85"",""86""],""6"":[""84"",""85""],""3"":[""90""],""5"":[""84""],""2"":[""85""],""4"":[""90""],""1"":[""85"",""86"",""89""]}",,56,"{""18"":[""90""],""11"":[""90""],""17"":[""84"",""85""],""12"":[""84"",""85"",""83""],""10"":[""90""],""16"":[""84"",""85"",""83""],""14"":[""85""],""13"":[""84"",""85"",""83"",""86"",""89""],""15"":[""85""]}",,51,"""2""",,15,"""3""",,5,"""3""",,4,"""1""",,4,,,,"""1987""",,7,"""1""",,4,"""1""",,3,"""5""",,4,"""5""",,13,"[""3"",""9"",""11""]",,38
